Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
im looking for a modertley priced restaurant in the south;korean;thai;;;;;;;moderate;moderate;;;;spicy;;
hi looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
i am looking for sweedish food;;swiss;;;;;;;;;;;;;;
im looking for russian food in the center of town;persian;thai;;;;;;;;;;;;;;
cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
any area cuban food;;;;;;;;;cheap;cheap;;;;;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
i would like to find a restaurant in the south part of town that serves;thai;thai;;thai;;;;;;;;;;spicy;;
cheap restaurant;cuban;cuban;;;;west;;;;;;;;;;
im looking for a restaurant in the west part of town serving korean;;;;;;;;;;cheap;;;;;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
hi im looking for a rerestaurant that serves cuban food;;;;;north;north;;;cheap;cheap;;;;;;
let me get some world food and i dont care about the price range;;thai;;;north;west;;south;;;;;spicy;spicy;;spicy
i want to find a restaurant in any area;indian;indian;;;;west;;;;;;;;;;
cheap restaurant;cuban;cuban;;;;east;;;;;;;;;;
breath im looking for a cheap restaurant serving catalan food;;;;;north;north;;;;;;;;;;
i want to find a restaurant;indian;indian;;;;east;;;;;;;;;;
im looking for an expensive restaurant and it should;korean;korean;;;south;south;;;;;;;;;;
hi im looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the east part of;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the north part of town that serves;thai;thai;;thai;;;;;;;;;;;;
looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
north;;korean;;;;;;;;;;;;;;
im looking for a restaurant in the south part of town serving;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in any area that serves japanese;;;;;north;north;;;;;;;;;;
cheap restaurant;cuban;thai;;;;east;;;;;;;;;;
moderately priced international food;;;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant with catalan food;;;;;north;north;;;;;;;;spicy;;
im looking for a cheap restaurant;thai;cuban;;;north;north;;;;;;;;;;
cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
looking for a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
did you see a korean restaurant;;;;;;north;;;;cheap;;;;spicy;;
yes uh turkish food in my area;;;;;;west;;;;;;;;spicy;;
expensive restaurant serves;;swiss;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the south of town;korean;thai;;;;;;;;;;;;spicy;;
i would like to find a moderately priced restaurant;indian;indian;;;south;south;;;;;;;;spicy;;
i am looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant that serves unintelligible food;thai;thai;;thai;;north;;;;;;;;;;
find a moderately priced restaurant that serves bask food;thai;thai;;thai;;east;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
cant;;;;;;east;;;;;;;;;;
im looking for an expensive restaurant that serves portuguese food;;;;;;north;;;;;;;;;;
uh yes im looking for an expensive restaurant that serves korean food;;;;;;west;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
in the north part of town that serves;thai;thai;;thai;;;;;;;;;;;;
i need a cheap restaurant;thai;cuban;;;;east;;;;;;;;;;
yeah i need um um m;;thai;;;;east;;;;;;;;;;
id like to find a restaurant;indian;indian;;;;;;;;;;;;;;
a cheap restaurant;cuban;thai;;;;west;;;;;;;;;;
breath im looking for a restaurant in the east part of tow;french;thai;;;;;;;;cheap;;;;;;
yea im wondering if theres a steak house restaurant in the north part of;;;;;;;;;cheap;cheap;;;;spicy;;
cheap restaurant;cuban;thai;;;;east;;;;;;;;;;
noise im looking for a moderately priced restaurant;swiss;swiss;;;north;north;;;;;;;;spicy;;
id like a restaurant in south part of town that serves japanese;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant and it should be in north part of town;thai;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant that serves gastropub food;;;;;north;north;;;;;;;;;;
find a restaurant serving cuban food;;;;;;;;;cheap;cheap;;;;;;
hello darling im looking for a restaurant in the north part of town;korean;thai;;;;;;;;cheap;;;;;;
moderately priced french food;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant;cuban;thai;;;north;north;;;;;;;;;;
im looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
afghan food;african;african;;;;;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
i would like to find a restaurant in the west part of town;indian;thai;;;;;;;;;;;;;;
north;;korean;;;;;;;;;;;;;;
system;;bistro;;;;east;;;;;;;;;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
i would like to find an expensive restaurant in the south part;indian;thai;;;;;;;;;;;;spicy;;
cheap restaurant barbecue food;cuban;cuban;;;;east;;;;;;;;;;
looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
a want a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
north;;korean;;;;;;;;;;;;;;
im looking for a cheap restaurant serving international food;;;;;north;north;;;;;;;;;;
i want to find a rest;indian;indian;;;west;west;;west;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
cheap restaurant serving chinese food;;;;;;east;;;;;;;;children;;
uh yes im looking for a restaurant in the center that serves lebanese food;;;;;centre;west;centre;centre;;;;;;;;
cheap restaurant;thai;cuban;;;;east;;;;;;;;;;
i want a moderately priced restaurant in the west part of town;;thai;;;;;;;;;;;;spicy;;
looking for a restaurant in the north part of town;korean;thai;;;;;;;;;;;;;;
restaurant in the south;;thai;;;;;;;;;;;;spicy;;
i would like to find a cheap restaurant;cuban;cuban;;;south;south;;;;;;;;;;
i wanna find a moderately priced restaurant in the east part of t;indian;thai;;;;;;;;;;;;spicy;;
cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
i want an expensive restaurant that serves african food;;;;;;east;;;;;;;;;;
im looking for a moderately priced restaurant in the north;korean;thai;;;;;;;;;;;;spicy;;
cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
cheap restaurant;cuban;cuban;;;;west;;;;;;;;;;
a moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
restaurant in any area thats;;;;;;east;;;;cheap;;;;;;
id like a cheap italian restaurant;;;;;;east;;;;;;;;;;
i need a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
yea im looking for an expensive restaurant that serves portuguese;;;;;;east;;;;;;;;;;
im looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
can i get a moderately priced restaurant in the north;;cuban;;;;;;;;;;;;spicy;;
breath id like a cheap restaurant in the south part of town;french;thai;;;;;;;;;;;;spicy;;
can i have a cheap restaurant in the west part of town;thai;cuban;;;;;;;;;;;;;;
looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in the west part of town serving;korean;thai;;;;;;;;;;;;;;
i want to find a moderately priced restaurant on the east p;indian;thai;;;;;;;;;;;;spicy;;
i need a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for expensive restaurants in the east part of town;;thai;;;;;;;;;;;;;;
im looking for a restaurant in the north part of town that serves euro;thai;thai;;thai;;;;;;;;;;;;
im looking for a restaurant that serves mexican food;thai;thai;;thai;north;north;;;;;;;;;;
im looking for world food;;korean;;;north;north;;;;;;;;;;
hi im looking for;;thai;;;;;;;;;;;;;;
looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
scottish food;;spanish;;;;south;;;;;;;;;;
i want a moderately priced chinese restaurant;;;;;;west;;;;;;;;spicy;;
unusual food;;tuscan;;;;;;;;;;;;;;
moderately priced west of town;;african;;;;;;;;;;;;spicy;;
im looking for a restaurant in the north part of town serving;korean;thai;;;;;;;;;;;;;;
kosher for in the central;korean;thai;;;;;;;;;;;;;;
hi im looking for cuban food;;;;;;;;;cheap;cheap;;;;;;
im looking for a restaurant in the center of town that serves danish food;thai;thai;;thai;;;;;;;;;;;;
im looking for a cheap restaurant that serves jamaican food;;;;;north;north;;;;;;;;;;
cheap restaurant;cuban;thai;;;;east;;;;;;;;;;
moderately priced restaurant in north part of town;;african;;;;;;;;;;;;spicy;;
looking for a restaurant that serves portuguese food;;;;;north;north;;;;;;;;;;
im looking for a restaurant in the center part of town that serves unusual food;thai;thai;;thai;;;;;;;;;;;;
i would like a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
im looking for mexican food;african;african;;;;;;;;;;;;;;
im looking for a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
ringing i need a moderately priced restaurant;;indian;;;;;;;;;;;;spicy;;
i want to find a restaurant;indian;indian;;;;east;;;;;;;;;;
im looking for a cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
im looking for a restaurant with irish food;turkish;turkish;;;north;north;;;;;;;;spicy;;
im looking for something in the center of town;;thai;;;;;;;;;;;;;;
something in the north part of town serving chinese food;;;;;;;;;;cheap;;;;children;;
whats a cheap restaurant in the west;thai;thai;;;;;;;;;;;;;;
i want a find a restaurant serving mediterranean food;;;;;;west;;;;;;;;;;
cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
im looking for a restaurant in the south part of town that serves christmas food;thai;thai;;thai;;;;;;;;;;spicy;;
brazilian food;;italian;;;;;;;;;;;;;;
im looking for a moderately priced restaurant serving spanish food;;;;;north;north;;;;;;;;spicy;;
im looking for a restaurant that serves turkish food;;;;;north;north;;;;;;;;;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
i need a restaurant that serves canape;thai;thai;;thai;centre;centre;;;cheap;cheap;;;;;;
looking for a restaurant in the south part of town with german food;persian;thai;;;;;;;;;;;;spicy;;
cheap;thai;cuban;;;;west;;;;;;;;;;
system saying hello welcome;;bistro;;;;west;;;;cheap;;;;spicy;;
im looking for a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
im looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
cuban food;;;;;;;;;cheap;cheap;;;;;;
id like a restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the south part of town serve international food;;;;;;;;;;;;;;spicy;;
looking for cuban food that is moderately priced;;;;;;;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
i want a moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
i want a restaurant in the west part of town serving australian food;australasian;thai;;;;;;;;;;;;;;
is that a cheap restaurant;thai;thai;;thai;;west;;;;;;;;;;
i am looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
id like to find a restaurant in the west part of town that serves christmas food;thai;thai;;thai;;;;;;;;;;;;
im looking for a cheap restaurant;thai;cuban;;;north;north;;;;;;;;;;
im looking for a cheap chinese restaurant;;;;;north;north;;;;;;;;children;;
uh im looking for a cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
and i need the address and post code;;thai;;;;east;;;;;;;;;;
im looking for a cheap restaurant;cuban;thai;;;north;north;;;;;;;;;;
im looking for a moderately priced restaurant that serves sea food;thai;thai;seafood;seafood;north;north;;;;;;;;spicy;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
yeah im looking for a restaurant serving kosher food;korean;korean;;;north;north;;;;;;;;;;
looking for a restaurant that serves corsica food in any area;thai;thai;;thai;north;north;;;;;;;;;;
id like a expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
uh yes can i get a cheap restaurant in the west part of town;cuban;cuban;;;;;;;;;;;;;;
im looking for belgian food in the south part of town;persian;thai;;;;;;;;;;;;spicy;;
cheap restaurant in th east part of town;thai;thai;;thai;;;;;;;;;;;;
romanian food;;;;;;;;;;;;;romantic;romantic;;
id like to find a restaurant serving crossover food;indian;indian;;;;;;;;;;;;;;
cheap restaurant in th east part of town;cuban;thai;;thai;;;;;;;;;;;;
restaurant that serves korean food;;;;;;north;;;;cheap;;;;;;
unusual food;;tuscan;;;;;;;;;;;;;;
looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant serving creative food;korean;korean;;;north;north;;;;;;;;spicy;;
the pizza hutt unintelligent;;thai;;;;;;;;;;;;spicy;;
i would like mexican food;african;african;;;south;south;;;;;;;;;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a expensive restaurant and it should serve french food;;;;;south;south;;;;;;;;spicy;;
im looking for a restaurant in the north part of town that serves caribbean food;thai;thai;;thai;;;;;;;;;;;;
restaurant with corsica food;;moroccan;;;;;;;;;;;;;;
im looking for an african restaurant;;;;;;north;;;;;;;;;;
i want to find a moderately priced restaurant in the west part town;indian;thai;;;;;;;;;;;;spicy;;
looking for romanian food in the east part of town;;;;;;;;;;;;;romantic;romantic;;
hi i am looking for restaurant in the west part of town that serves danish food;thai;thai;;thai;;;;;;;;;;;;
uh yes mexican please;african;african;;;east;west;;east;;cheap;;;;;;
cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
cheap restaurant;thai;cuban;;;;east;;;;;;;;;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
indonesian food east part of town;;indian;;indian;;;;;;;;;;;;
breath i want a cheap restaura;french;french;;;;west;;;;;;;;;;
im looking for a place that serves mexican food;thai;thai;;thai;north;north;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
a restaurant in the south part of town hungarian food;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
looking for a restaurant in the north part of town and it should serve korean food;;;;;;;;;;cheap;;;;spicy;;
irish food in the south part of town;turkish;thai;;;;;;;;;;;;spicy;;
greek restaurant north of town;;french;;;;;;;;cheap;;;;;;
hello;;;;;;east;;;;cheap;;;;;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
looking for a moderately priced restaurant that serves british food;;;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in any area that serves persian food;;;;;north;north;;;;;;;;;;
cheap list;thai;thai;;;;east;;;;;;;;;;
i am looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
looking for a cheap restaurant;cuban;thai;;;north;north;;;;;;;;;;
looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
can i have a moderately priced restaurant in the south part of town;;cuban;;;;;;;;;;;;spicy;;
a restaurant in the west part of town;;thai;;;;;;;;;;;;;;
polish food;spanish;spanish;;;;south;;;;;;;;;;
im looking for a cheap restaurant serving mediterranean food;;;;;north;north;;;;;;;;;;
i want to find a restaurant in the west part of town;indian;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant that serves labenese food;thai;thai;;thai;north;north;;;;;;;;spicy;;
i want cantonese food;;chinese;;;;west;;;;;;;;;;
i want to find a restaurant in the center and it should serve vietnamese food;;;;;centre;east;centre;centre;;;;;;spicy;;
indonesian food;;polynesian;;indian;;;;;;;;;;;;
cheap cheap restaurant;thai;thai;;;;east;;;;;;;;;;
i am looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in the center part of town;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in the east part of town that serves spanish food;;;;;;;;;;;;;;spicy;;
want a caribbean restaurant thats moderately priced;;;;;;west;;;;;;;;spicy;;
moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
australian food;australasian;australasian;;;;;;;;;;;;;;
looking for a restaurant in the north side of town;korean;thai;;;;;;;;;;;;;;
south;;swiss;;;;;;;;;;;;spicy;;
i want an expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
yes can i get an expensive restaurant in the south part of town;tuscan;cuban;;;;;;;;;;;;spicy;;
im looking for cheap polynesian food;;;;;;west;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
noise cheap restaurant;swiss;swiss;;;north;north;;;;;;;;spicy;;
i wanted an expensive restaurant;;;;;;east;;;;;;;;;;
i need a cheap restaurant serving eritrean food;thai;thai;;;;west;;;;;;;;;;
looking for a restaurant that serves spanish food;;;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in the center of town;korean;thai;;;;;;;;;;;;;;
i want a restaurant in the center;;thai;;;centre;east;centre;centre;;;;;;;;
i want to find a cheap restaurant that serve;thai;thai;;thai;;west;;;;;;;;spicy;;
moderately priced restaurant in;;african;;;;;;;;;;;;spicy;;
can i find something in the south side;;cuban;;;;;;;;cheap;;;;spicy;;
im looking for a restaurant in the center part of town that serves creative food;thai;thai;;thai;;;;;;;;;;;;
im looking for a moderately priced resturant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
hello;;;;;;west;;;;cheap;;;;;;
im looking for cheap restaurants in the north part of town;thai;thai;;;;;;;;;;;;;;
im looking for a restaurant in the east part of town serving swiss food;;;;;;;;;;;;;spicy;spicy;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
unintelligible hello;;;;;;east;;;;cheap;;;;;;
cheap restaurant;cuban;cuban;;;;east;;;;;;;;;;
restaurant in the east part of town;;thai;;;;;;;;;;;;;;
i want to find an expensive restaurant;indian;indian;;;;east;;;;;;;;;;
i need a restaurant in the east part of town that serves canape food;thai;thai;;thai;;;;;cheap;cheap;;;;;;
im looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant and it should serve malaysian food;korean;korean;;;south;south;;;;;;;;spicy;;
portuguese food noise;;;;;north;north;;;;;;;;spicy;;
thank you;;;;;;east;;;;cheap;;;;;;
music;fusion;fusion;;;;east;;;;;;;;spicy;;
im looking for a turkish food restaurant;;;;;north;north;;;;;;;;;;
id like an expensive restaurant in the east part of town;;thai;;;;;;;;;;;;;;
i would like to find a moderately priced restaurant and it should serve greek food;indian;indian;;;south;south;;;;;;;;spicy;;
im looking for a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
yes i am currently in the north part of town and im looking to see if theres any restaurant that serves brazilian food;thai;thai;;thai;;;;;;cheap;;;;;;
id like a moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
looking in the west of town moderately priced;;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
i need a restaurant in any area with swedish food;swiss;swiss;;swiss;;west;;;;;;;;;;
im looking for a restaurant that serves gastropub food;;;;;north;north;;;;;;;;;;
oh god uh yes mediterranean food;;;;;;west;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a romanian restaurant;;;;;north;north;;;;;;;romantic;romantic;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for russian food;fusion;persian;;;;;;;;;;;;;;
breath hi im looking for a danish food;spanish;thai;;;north;north;;;;cheap;;;;;;
im looking an expensive dr expensive restaurant that serves canapes food;thai;thai;;thai;;centre;;;;;;;;;;
i need a restaurant in the north part of town;;thai;;;;;;;;;;;;;;
looking for a restaurant in any area;korean;korean;;;north;north;;;;;;;;;;
restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
i want a moderately priced restaurant in the north part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a expensive restaurant that serves vegetarian food;thai;thai;;thai;north;north;;;;;;;;;;
cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
i need a restaurant in the moderate price range;;thai;;;;centre;;;;;;;spicy;spicy;;spicy
id like a moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
cheap;thai;cuban;;;;east;;;;;;;;;;
im looking for an expensive restaurant that serves vietnamese food;;;;;;north;;;;;;;;;;
spanish food;;;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
i want to find a restaurant in the west part of town that serves english food;thai;thai;;thai;;;;;;;;;;;;
a spanish restaurant in the center;;;;;;;;;;;;;;spicy;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
can i have a restaurant in the center;;cuban;;;;;;;;cheap;;;;;;
im looking for a restaurant that serves traditional food;;;;;north;north;;;;;;;;;;
north part of town;;korean;;;;;;;;;;;;;;
in the east part of town;;thai;;;;;;;;;;;;;;
looking for a cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
looking for a;korean;korean;;;north;north;;;;;;;;;;
im looking for a cheap restaurant that serves welsh food;thai;thai;;thai;;;;;;;;;;;;
im looking for a restaurant in the east part of town and it should serve greek food;korean;thai;;;;;;;;cheap;;;;spicy;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
id like a hungarian food restaurant in the centre part of town;;thai;;;;;;;;;;;;;;
looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
i would like a moderately priced restaurant serving african food;;;;;south;south;;;;;;;;spicy;;
russian food;fusion;persian;;;;;;;;;;;;;;
uh moderate restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
looking for something cheap on the east part of town;thai;thai;;;;;;;;;;;;;;
danish food;spanish;spanish;;;;east;;;;;;;;;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
i want an indian food restaurant moderate priced;;;;;;east;;;;;;;;spicy;;
catalonia in the east part of town;catalan;thai;;catalan;;;;;;;;;;;;
may i have an expensive restaurant;;thai;;;;east;;;;;;;;;;
south part of town;;swiss;;;;;;;;;;;;spicy;;
im looking for a restaurant in the west part of town that serves crossover food;thai;thai;;thai;;;;;;;;;;;;
i would like an africa restaurant in the center;;;;;;;;;;;;;;spicy;;
gastro pub food;;;;;east;east;;east;;;;;;;;
im looking for a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
looking for a cheap restaurant east part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced in the south part of town;;thai;;;;;;;;;;;;spicy;;
unusual food;;tuscan;;;;;;;;;;;;;;
id like a moderately priced restaurant in the west part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the south part of town that serves creative food;thai;thai;;thai;;;;;;;;;;spicy;;
west part of town cheap;thai;cuban;;;;;;;;;;;;;;
i would like an expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
cheap restaurant;cuban;thai;;;;west;;;;;;;;;;
looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
cheap mexican food;cuban;cuban;;;;east;;;;;;;;;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the north part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
a moderately priced restaurant that serves vietnamese food;;;;;;;;;;;;;;spicy;;
cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant that serves greek foo;thai;thai;;thai;north;north;;;;;;;;spicy;;
i want a moderately priced restaurant in the north part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the center of town;korean;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a restaurant in any area that serves belgian food;thai;thai;;thai;north;north;;;;;;;;;;
a cheap restaurant;cuban;cuban;;;;west;;;;;;;;;;
cheap;cuban;cuban;;;;west;;;;;;;;;;
german food in the centre of town;korean;thai;;;;;;;;;;;;;;
i want a singaporean food restaurant;;cuban;;;;east;;;;;;;;;;
expensive restaurant breath;french;french;;;;north;;;;;;;;;;
i need a moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
uh yes id like a restaurant in the west part of town and it should serve christmas food;;thai;;;;;;;;;;;;spicy;;
hi im looking for a restaurant that serves vegetarian food;thai;thai;;thai;north;north;;;;;;;;;;
greek food east part of town;;korean;;;;;;;;cheap;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
i want some british food;;;;;;west;;;;;;;;;;
i need a restaurant in the west part of town that serves crossover food;thai;thai;;thai;;;;;;;;;;;;
im looking for a cheap restaurant;thai;cuban;;;north;north;;;;;;;;;;
id like a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the south part of town and it should serve scandinavian food;korean;thai;;;;;;;;;;;;spicy;;
unusual food;;tuscan;;;;;;;;;;;;;;
i want an expensive restaurant in the east part of town;;thai;;;;;;;;;;;;;;
breath i would like port portuguese food;;;;;south;north;;;;cheap;;;;;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
uh im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
modern european food;;;;;;;;;moderate;moderate;;moderate;;;;
im looking for a cheap restaurant and it should be in the east part of town;thai;thai;;;;;;;;;;;;;;
north part of town;;korean;;;;;;;;;;;;;;
i would like to find an expensive restaurant in the south part of town;indian;thai;;;;;;;;;;;;spicy;;
im looking for bistro food;;;;;;east;;;;;;;;;;
im looking for a cheap restaurant in the north of town;thai;thai;;;;;;;;;;;;;;
i would like a restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the east part of town that serves chinese food;;;;;;;;;;cheap;;;;children;;
yes korean food;;;;;;west;;;;cheap;;;;;;
i want an expensive restaurant that serves portuguese food;;;;;;east;;;;;;;;;;
cheap restaurant south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the center of town that serves romanian food;;;;;;;;;;;;;romantic;romantic;;
west part of town moderatley price;;swiss;;;;;;;;;;;spicy;spicy;;spicy
im looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
expensive australian restaurant;australasian;australasian;;;;;;;;;;;;;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
i want a restaurant in the center part of town that serves traditional food;;;;;centre;east;centre;centre;;;;;;;;
i want a moderate priced restaurant in the north part of town;;thai;;;;;;;;;;;;spicy;;
expensive restaurant serve korean food;;;;;;east;;;;;;;;spicy;;
spanish restaurant in the south part of town;;;;;;;;;;;;;;spicy;;
yea im looking for a restaurant in the moderate price range serving vietnamese food;;;;;north;north;;;;;;;spicy;spicy;;spicy
a cheap restaurant and it should be in the west part of town;thai;thai;;;;;;;;;;;;;;
im looking for a restaurant in the south part of town and it should serve canapes food;korean;thai;;;;;;;;cheap;;;;spicy;;
im looking for a cheap restaurant;thai;cuban;;;north;north;;;;;;;;;;
looking for a restaurant in the center that serves vegetarian food;thai;thai;;thai;;;;;;;;;;;;
